ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
760,Sub-Health Management - TCM Perspective for Health and Wellness Practitioners,"Course objectives: 
Sub-health condition as defined by the WHO (World Health Organization) as a state between health and disease or a gray state of health, when all necessary physical and chemical indexes are tested negative by medical equipment, things seem normal but the person experiences all kind of discomfiture and even pain. The course will is to share with the Health and Wellness practitioners, the Chinese Medicine approaches in addressing conditions such as Insomnia, Chronic Fatigue, Perspiration or hyperdydrohesis, and GERD.",Tcmandyou Pte. Ltd,250,0,Part time,1-2 days,9,8,6,4.5,2023
761,Women's Health - The TCM Perspective for Health and Wellness Practitioners,"Course Objective:
Every woman's life is a complete beautiful cycle, makes up of sequence of intertwining life stages, which was carefully and well documented in the Chinese medical literatures. The objective of the course is to share with the Health and Wellness practitioners, the Chinese Medicine approaches in addressing Women's Health issues, during different life's stages, the Menstrual Cycle, Pregnancy, Menopause and corresponding syndromes face by Women such as Emotional Management.",Tcmandyou Pte. Ltd,300,0,Full Time and Part Time,1-2 days,9,33,12,4.2,2023
762,Pain Management - TCM Perspective for Health and Wellness Practitioners,"Course Objective:
Pain, while not comfortable, is a protective reaction and warning signals to let us know that something needs correction. This course will let the participants know the etiology and pathogenesis of different kind of Pain from the TCM Perspective. Management of Rheumatic diseases are characterized by inflammation affecting supporting structures of the body will be discussed and learners will learn approaches such as the use of TCM Acupressure Massage, Medicated Diets in the management of Pain.",Tcmandyou Pte. Ltd,300,0,Part time,1-2 days,9,18,7,4.6,2023
763,Essential Wellness Skills for Ageing Population,"Course Objective:
After working with 15,000 clients from 30 countries over three decades, the trainer has identified most common health challenges due to work-life environment and this program he will share with health and wellness practitioner what these common challenges are and outlines strategies to deal with these issues. This course is designed for those who are involve in providing health and wellness care activities, and looking for in-depth understanding of functional wellness, movement, nutrition and in their activities. To help manage issues arise from the aging population and to raise their standard and quality of service to their respective clients.",Tcmandyou Pte. Ltd,1000,0,Part time,6 days - 1 month,48,,,,2023
764,"Gamification in Healthcare driven by AI, IOT and VR","This comprehensive course is designed to furnish participants with essential skills in leveraging gamification, artificial intelligence (AI), and the Internet of Things (IoT) technology in healthcare. Participants will gain a profound understanding of these emergent technologies and develop the expertise to construct an interactive rehabilitation game employing smart technologies.
 
Through intensive hands-on sessions, participants will learn the process of data acquisition using IoT sensors. The course will guide them through the utilization of cloud platforms for secure data storage and instruct on the integration of Virtual Reality (VR) for remote visualization and monitoring of patient progress, fostering a disciplined and serious approach to healthcare applications.
 
A key emphasis will be placed on cultivating the ability to discern trends through data analytics and AI, with the ultimate goal of enhancing patient care. This course is for serious practitioners who are keen to understand and implement new technologies in healthcare.",Temasek Polytechnic,600,180,Part Time,3-5 days,15,15,15,3.9,2023
765,(SCTP) Advanced Certificate in Basic Community Care Management,"The learning objective of the (SCTP) Non-WSQ Advance Certificate in Basic Community Care Management is to train individuals who have no prior experience in the sector but are interested to join the Social Service sector, particularly but not limited to, the Community Care spaces like Senior Activity Centres / Active Aging Centres / Active Aging Care Hubs, to work with volunteers &amp; clients with professionalism.

This course is administered by Hua Mei Training Academy, an initiative of Tsao Foundation.",Tsao Foundation,7550,2265,Full Time and Part Time,1-3 months,185,,8,3.5,2023
766,Foundation Knowledge for Effective Care Delivery (ACBCCM),"The required skills and knowledge for this course are as follows:
? Education:
? be able to listen and speak English at a proficiency level equivalent to the Employability Skills System (ESS) Literacy Level 4
? be able to read and write English at a proficiency level equivalent to the Employability Skills System (ESS) Literacy Level 4
? be able to manipulate numbers at a proficiency level equivalent to Employability Skills System (ESS) Numeracy Level 4
? have basic languages / dialects relevant to the target client group. ? Have prior working experience with older adults will be an added advantage
? Be motivated to learn and have positive attitude towards work and commitments.
? Have interest in community and social work.

Required years of experience in relevant Domain
- No prior experience required.",Tsao Foundation,530,159,Part Time,1-2 days,10,19,25,4.6,2023
767,Identifying the Bio-Psycho-Social (BPS) Risk and Red flags in elders,"The objective of the course is to equip learners with the skills and knowledge to Identify Bio-Psycho-Social (BPS) Risk and Red Flags in the older person, while at the same time know and familiarise with the types of Elder Abuse screening tools and reporting procedures for elder abuse.

This course is administered by Hua Mei Training Academy, an initiative of Tsao Foundation",Tsao Foundation,430,129,Part Time,1-2 days,8,19,23,4.7,2023
768,Practical Application to Work with High-Risk Elders with Mental Health Conditions,The objective of the course is to equip learners with the skills and knowledge to understand the process of care for older adults with mental health issues and recognize the various community resources available to support these older adults and enable them to age well in the community.,Tsao Foundation,430,129,Part time,1-2 days,8,19,25,4.7,2023
769,Caring for Persons with Dementia,"The objective of this course is to equip learners with the skills and knowledge about the fundamentals of both the Person-Centred Care approach and Palliative care/end-of-life approach in caring for persons with Dementia. Also, with the use of effective communication, to recognise the behavioural change, factors that can affect interactions, and the importance of social activities or engagements for Persons with dementia. Not to be missed, learners will also pick up skills to identify the various ways to prevent and cope with personal stress and burnout.

This course is administered by Hua Mei Training Academy, an initiative of Tsao Foundation.",Tsao Foundation,1180,354,Part time,3-5 days,22,19,21,4.8,2023
