ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
1,Nitec in Nursing,This course provides students with skills and knowledge to deliver nursing care to patients in various healthcare settings.,Institute Of Technical Education,860,0,Part time,More than 1 year,2800,,,,2015
2,Nitec in Opticianry,"The Nitec in Opticianry course provides students with the skills and knowledge in measuring and fitting of lenses and frames for clients, assisting clients with frame selection, preparing work orders for optical laboratory, fabricating lenses according to prescription, performing sales of optical products as well as administrative duties relevant to optical dispensing.",Institute Of Technical Education,860,0,Part time,More than 1 year,2800,,,,2015
3,Higher Nitec in Paramedic & Emergency Care,This course is to provide students with in-depth knowledge and skills to practise as a paramedic in a wide variety of pre-hospital care environments.,Institute Of Technical Education,885,0,Full Time and Part Time,More than 1 year,2100,,,,2015
4,Doctor of Medicine (MD),"The Duke-NUS Doctor of Medicine (MD) programme is developed with the mission to enable graduates to not only practice medicine, but also improve the practice of medicine in an evolving healthcare environment.
This programme spans 4 years, and graduates are awarded a joint Doctor of Medicine (MD) degree by Duke University and the National University of Singapore (NUS).

Pre-Clerkship Experience
The hallmark of the Duke-NUS pre-clerkship curriculum is in both the content and the TeamLEAD pedagogy. In alignment with the Duke University School of Medicine curriculum, Duke-NUS integrates the basic science content into one year of study rather than two as in most graduate medical schools. We value class time as an opportunity for students to apply knowledge obtained from preparatory materials (eg. Video-recorded lectures, readings etc.), in a way that fosters the critical skills and aptitudes necessary for future leaders of medicine: teamwork, leadership, and the pursuit of curiosity. Our dedicated teaching faculty are drawn from our Signature Research Programs and clinical affiliates.

Clerkship Experience
In their first clinical year, our students learn the fundamentals of patient care such as establishing rapport, respect and trust, and develop their clinical skills in history taking, physical exam and management of patients. During this broad-based exposure to the core specialties, students will experience the fundamentals of Pediatrics, Obstetrics and Gynecology, Neurology, Psychiatry, Surgery, and Medicine. Our hospital affiliates have a long and distinguished history of clinical teaching.

Research Experience
Duke-NUS students participate in a 9-month mentored research activity that allows them to explore cutting-edge scientific issues, and helps build the skills fundamental to becoming leaders in healthcare.",National University Of Singapore,306075,0,Part time,More than 1 year,6143,,,,2015
5,Doctor of Philosophy,"The MSc and PhD programmes are research-intensive programmes that emphasise both the mastery of research skills and the acquisition of core knowledge in a specified area of interest. Students will complete coursework and conduct independent research under the supervision of a faculty member. From Year 1, both MSc and PhD students will embark on their research projects, complete core courses and choose from a range of elective courses that cater to individual research interests. In Year 2, MSc students will start writing their thesis, while PhD students will complete a PhD Qualifying Examination (PQE) which assesses their ability to complete PhD requirements based on their academic progress and quality of their research. MSc students who wish to transfer to the PhD programme need to complete the PhD coursework requirements, and pass the PQE within 2 years.

In Years 3-5, PhD students will execute the rest of their research plans and submit and defend the thesis.",National University Of Singapore,211000,0,Part time,More than 1 year,7520,,,,2015
6,Master of Clinical Investigation,The primary aim of this programme is to grow the local clinician scientist / investigator talent pool by training clinicians with interest and aptitude in research.  The MCI programme provides essential didactic training for clinical research and will equip these clinicians with the basic analytical knowledge and skills needed to design and conduct clinical investigations that are relevant to patient care within their areas of specialisation.  This training will also allow practising clinicians to collaborate more effectively with other investigators in translational research projects.,National University Of Singapore,49346,0,Full Time,3-12 months,480,,,,2015
7,Master of Dental Surgery,To provide residency training programmes leading to postgraduate specialist qualification in dentistry.,National University Of Singapore,98650,0,Full Time,3-12 months,1182,,,,2015
8,Master of Public Health,"The Master of Public Health (MPH) is a professional degree that seeks to provide a rigorous and interdisciplinary approach to learning, with an emphasis on finding evidence-based and innovative solutions to the current and future public health challenges in Asia.
Leveraging on the NUS system and our close links with the regional health clusters, social service sectors, government ministries and non-profit organisations, our School ensures that research and teaching provided is both progressive and comprehensive.

MPH graduates are equipped to address both traditional and emerging public health issues, assuming leadership and administrative positions in diverse public health disciplines in local as well as international settings.",National University Of Singapore,94050,0,Full Time,3-12 months,1560,,,,2015
9,Master of Science (Speech and Language Pathology),The M.Sc. (SLP) programme is an entry-level training for the profession of Speech and Language Pathology. It is a 2-year full-time programme designed for graduates from any discipline who are seeking professional practice training as a speech and language pathologist.,National University Of Singapore,84700,0,Full Time,More than 1 year,2700,,,,2015
10,Bachelor of Science (Nursing),To register with the Singapore Nursing Board to practise as Registered Nurses,National University Of Singapore,104439,0,Full Time,More than 1 year,4613,,,,2015
11,Bachelor of Dental Surgery,The curriculum aims to prepare graduate to practise  general dentistry competently in a variety of settings and to instil a commitment to learning throughout his/her professional life.,National University Of Singapore,644037,0,Full Time,More than 1 year,5200,,,,2015
12,Bachelor of Medicine and Bachelor of Surgery,"The undergraduate medical programme is a five-year course leading to the degrees of Bachelor of Medicine and Bachelor of Surgery (M.B.,B.S.) offered by the Yong Loo Lin School of Medicine. The curriculum establishes a firm foundation in the basic medical sciences while providing students with high quality clinical experiences. Throughout the course, the curriculum emphasises the clinical relevance the basic sciences. The first year of the course emphasises normal structure and function of the human body, underscoring the clinical relevance of what is taught. Progressively in the second year, the course focuses on abnormal structure and function including principles of pharmacotherapy, general pathology including cancer biology, and the body?s defences (immunology and infection). The primary focus from the third to the fifth year is high quality clinical experience in medical and surgical-related disciplines with underpinning medical sciences. Students also have the opportunity to take local and overseas electives during this period.",National University Of Singapore,623364,0,Full Time,More than 1 year,5478,,,,2015
13,Master of Science (Nursing),This is a research based degree programme.,National University Of Singapore,36100,0,Full Time and Part Time,3-12 months,650,,,,2015
14,Master of Science (Audiology),"On completion of the course, students will obtain a strong theoretical foundation of hearing sciences, develop practical competencies and possess a good appreciation of the following:

-Assessment, diagnosis, and management of hearing impairment and disordered auditory related systems in adults and children.
-Assessment, diagnosis, and management of balance dysfunctions in adults.
-Hearing aid evaluation, verification, and validation for adults and children.
-Programming in implantable devices (e.g. cochlear implant, bone anchored hearing aids, and middle ear implant) for adults and children.
-Research skills necessary for service development and evaluation.
-Basic counseling skills for working with hearing impaired individuals and families.
-Communication skills for multi-disciplinary teamwork.
-Public health challenges and effective hearing care.
-Uniquely Singaporean and Asian education, research and clinical focuses.
-Strong spirit of excellence, continued learning, innovation and community service.",National University Of Singapore,74263,0,Full Time and Part Time,More than 1 year,2187,,,,2015
15,Master of Psychology (Clinical),"The NUS Clinical Psychology Masters Degree is a two-year full-time coursework programme, which provides entry level training for graduates who seek a professional career in Clinical Psychology.  It is based on the scientist-practitioner approach and builds on theoretical knowledge and core competencies for clinical practice. It is taught through coursework, research and practical placement experience.",National University Of Singapore,74679,0,Full Time and Part Time,More than 1 year,2340,,,,2015
16,Master of Nursing,To register with the Singapore Nursing Board to practise as an Advanced Practice Nurse (APN),National University Of Singapore,36100,0,Full Time and Part Time,More than 1 year,2600,,,,2015
17,Master of Science,"Master's degree programmes are primarily designed to prepare students for the practice of a profession, or to master a subject area as a precursor to doctoral training.",National University Of Singapore,199266.09,0,Full Time and Part Time,More than 1 year,3760,,,,2015
18,NUSMed Graduate Research Degree Programs,Training of  biomedical- and clinician-scientists.,National University Of Singapore,69900,0,Full Time and Part Time,More than 1 year,8000,,,,2015
19,Graduate Diploma in Applied Epidemiology,"The Graduate Diploma in Applied Epidemiology aims to equip candidates with the skills necessary to respond to:
(i) Investigate and control occurrences, including outbreaks, of communicable and non-communicable disease, using relevant approaches and technologies.
(ii) Plan, conduct and analyze epidemiologic studies to assess and monitor the health of communities and populations at risk, and to identify health problems and priorities.
(iii) Interpret and use basic statistics associated with various epidemiological study designs.",National University Of Singapore,11916,0,Part Time,3-12 months,780,,,,2015
20,Graduate Diploma in Dental Implantology,This program was introduced to address the professional demand for better training in implantology,National University Of Singapore,22664,0,Part Time,3-12 months,1405,,,,2015
21,Master of Science,"The MSc and PhD programmes are research-intensive programmes that emphasise both the mastery of research skills and the acquisition of core knowledge in a specified area of interest. Students will complete coursework and conduct independent research under the supervision of a faculty member. From Year 1, both MSc and PhD students will embark on their research projects, complete core courses and choose from a range of elective courses that cater to individual research interests. In Year 2, MSc students will start writing their thesis, while PhD students will complete a PhD Qualifying Examination (PQE) which assesses their ability to complete PhD requirements based on their academic progress and quality of their research. MSc students who wish to transfer to the PhD programme need to complete the PhD coursework requirements, and pass the PQE within 2 years.

In Years 3-5, PhD students will execute the rest of their research plans and submit and defend the thesis.",National University Of Singapore,126600,0,Part Time,More than 1 year,3760,,,,2015
22,Diploma in Optometry,"To train students to help diagnose eye disorders and prescribe optical treatments, especially with aging population and rising concerns about eye-care in Singapore. In addition, our broad-based curriculum enables them to explore opportunities in fields other than health services.",Ngee Ann Polytechnic,68100,0,Part time,More than 1 year,1800,,,,2015
23,Understanding Food Labels,This course is designed for individuals above 50 years old who wants to improve their knowledge in Basic Nutrition.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2016
24,Medication for Common Ailments,"This course aims to assist participants in the understanding of safe and effective use of over-the-counter medications to manage common ailments such as flu, diarrhoea and vomiting.",Nanyang Polytechnic,160,0,Part Time,1-2 days,8,,,,2016
25,Introductory Course In Traditional Chinese Medicine,The course provides you with the basic knowledge of Traditional Chinese Medicine (TCM) and the theories of acupuncture and meridian.,Nanyang Technological University,533,0,Part Time,3-5 days,25,,,,2016
26,NSA - Brain Gym for Mental Fitness,To learn a set of physical movements that would stimulate the mind and help seniors to learn faster and move easily in their jobs,Singapore Association For Continuing Education,140,0,Part Time,1-2 days,7,,,,2016
27,SkillsFuture@PA TCM Gua Sha (Stage 1),Learn the basics of TCM Gua Sha and massage/scrapping techniques.,Changi Simei Community Club,140,0,Part time,1-2 days,10,23,3,4.3,2017
28,Discovering TCM Acupuncture,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",240,0,Part Time,1-2 days,10,77,20,4.2,2017
29,Traditional Chinese Martial Arts: Bagua Zhang,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",375,0,Part time,3-5 days,15,,,,2017
30,Traditional Chinese Martial Arts: Taiji Quan,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",375,0,Part time,3-5 days,15,,,,2017
31,Healthy Ageing Through Learning and Practice,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",280,0,Full Time,3-5 days,16,,,,2017
32,Healthy Ageing Through Learning-A Living Enrichment Programme,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",200,0,Full Time,3-5 days,24,,,,2017
33,EAT HEALTHY & STAY BEAUTIFUL THROUGH TCM-INFUSED DIET,"The course explores the concept of an herbal diet in TCM, together with the energetics of common foods.",Nanyang Polytechnic,160,0,Part Time,1-2 days,8,38,33,4.6,2017
34,Discovering TCM Acupuncture,This course aims to give participants a deeper understanding of the TCM meridians and acupuncture theories.,Nanyang Technological University,257,0,Part time,1-2 days,10,,,,2017
35,Robotics for Clinicians: hands on assessment-driven rehabilitation technology,"The current trends in aging population, worldwide and in Singapore, and the ever-increasing needs for healthcare and eldercare have shifted the spotlight onto robotic and assistive technologies as a complementary resource in support of healthcare workers. As of today, robots for physical (neuro-)rehabilitation can be found in major hospitals and, at the current pace, more can be expected to soon reach community hospitals and day-cares. Are our clinicians ready to embrace this change and include robotic technologies in their daily work-routines?",Nanyang Technological University,390,0,Full Time,1-2 days,8,,,,2017
36,GRADUATE DIPLOMA IN SPORTS MEDICINE,"The GDSM programme is targeted primarily at MOH-registered GP/FMP and is aimed at equipping them in the primary care environment with the knowledge and skillsets to manage sports-related and general musculoskeletal injuries, and to function as Team Physicians for sport programmes and events.",Nanyang Technological University,7800,0,Part Time,6 days - 1 month,125,,,,2017
37,SkillsFuture@PA TCM Herbal Diet,Learn how to prepare food that is in line with TCM diet,Pasir Ris East Community Club,210,0,Part Time,1-2 days,10,,,,2017
38,SkillsFuture@PA TCM Herbal Diet,Learn how to prepare food that is in line with TCM diet.,Toa Payoh East Community Club,160,0,Part Time,1-2 days,10,58,24,4,2017
39,SkillsFuture@PA Acupressure Massage,Learn techniques of accupressure massage to relief pain from chronic illnesses.,Toa Payoh East Community Club,160,0,Part Time,1-2 days,10,53,14,4.5,2017
40,Introductory Course In Traditional Chinese Medicine,https://www.ntu.edu.sg/ci/programmes/cultural-programmes,"Confucius Institute, Nanyang Technological University Pte. Ltd.",498,0,Part Time,3-5 days,25,63,20,4.5,2017
41,Certificate in Bridging Studies for Enrolled Nurse,This Certificate in Bridging Studies for Enrolled Nurse aims to provide an opportunity for Enrolled Nurses with a NITEC or Higher NITEC in nursing qualifications to obtain higher level knowledge to enable them to be admitted to the Diploma in Nursing and cope with the rigours of the course.,Nanyang Polytechnic,1289.91,0,Part time,6 days - 1 month,135,89,44,4.8,2018
42,Psychological Health and Wellbeing,This course will cover psychological disorders that are commonly encountered to enable participants to gain sufficient knowledge and insights into selected disorders and capitalize on available avenues for help and support. The role of socio-cultural and environmental factors on psychological health and well-being will also be explored.,Nanyang Polytechnic,250,0,Part time,1-2 days,7,,,,2018
43,Stress and Crisis in Relationships,This module aims to create awareness on stress and crisis that are not uncommon in relationships. Participants will learn about the events and troubles that could affect the health of their relationships. They will also find out ways to manage stress and crisis better.,Nanyang Polytechnic,250,0,Part Time,1-2 days,7,,,,2018
44,Clinical Trial Design and Data Analysis,"This course will provide an understanding  of clinical trials and clinical data requirements to support regulatory evaluation and approvals for pharmaceuticals. Upon completion of this course, students would have knowledge on the key requirements for non-clinical and clinical evalution of pharmaceuticals across the product life cycle and understand the basis of structured decision-making in benefit-risk assessment and communication. The module is geared to enable students to acquire specific skills to prepare, submit and review clinical trial applications.",National University Of Singapore,3375,1012.5,Part time,6 days - 1 month,48,,,,2018
45,Post Diploma Certificate in Advanced Critical Care Nursing - Part of Advanced Diploma in Critical Care Nursing (ADCR1),"The certificate equips students with comprehensive knowledge and skills specifically required for the care of critically ill patients. The modules covered include Fundamentals in Critical Care Nursing, Advanced Critical Care Nursing I, Advanced Critical Care Nursing II and Advanced Critical Care Nursing Practice. The students will learn the critical care nursing fundamentals and management of ethical and legal issues, patient and family education, and alterations in psychosocial, sleep, nutrition, comfort and state of consciousness. The students also will learn the management of critically ill patients based on organ system-based alterations, and critical care nursing procedures.",Ngee Ann Polytechnic,6472.8,0,Part Time,1-3 months,248,41,17,4.2,2018
46,Post Diploma Certificate in Applied Sciences in Advanced Nursing - Part of Advanced Diploma in Critical Care Nursing (ADCR1),"The Advanced Diploma in Critical Care Nursing aims to:
(a) improve the standard care provided to critically ill patients and their families;
(b) facilitate early and accurate diagnostic assessment;
(c) advance the science of critical care nursing; and
(d) support research initiatives.",Ngee Ann Polytechnic,4906.8,0,Part Time,1-3 months,188,47,12,4.3,2018
47,Post Diploma Certificate in Advanced Clinical Practicum in Critical Care Nursing - Part of Advanced Diploma in Critical Care Nursing (ADCR1),"The certificate equips students with learning opportunities in various critical care settings and dialysis centre during a 9-week clinical postings. The students will apply the knowledge and skills they learnt in Post-Diploma Certificate 3 (Post-Diploma Certificate in Advanced Critical Care Nursing) when they provide care to the patients, and support their families in the critical care environments.",Ngee Ann Polytechnic,9448.2,0,Part Time,1-3 months,362,19,9,4.4,2018
48,Post Diploma Certificate in Clinical Practicum in Advanced Nursing - Part of Advanced Diploma in Critical Care Nursing (ADCR1),"The module provides the student opportunities to synthesize and apply the knowledge and practical skills learned in Post-Diploma Certificate 1 (Health Assessment and Clinical Decision Making, Applied Pathophysiology and Pharmacology, Evidence-Based Practice and Care Management Across Life Span) to the 2-week of broad-based Clinical Practicum in Advanced Nursing module. The students will be assigned to one clinical setting for cross-training.",Ngee Ann Polytechnic,2140.2,0,Part Time,6 days - 1 month,82,8,9,4.6,2018
49,SkillsFuture @PA - Acupressure Massage Intermediate,"Learn more in-depth massage and acupressure techniques to battle common colds, coughs, vertigo, hypertension, insomnia and depression. This course is a continuation of the earlier approved Basic Acupressure Massage.",Pasir Ris East Community Club,210,0,Part Time,1-2 days,10,3,,,2018
50,SkillsFuture @PA TCM Herbal diet Intermediate,"Learn more in-depth approaches to herbal diet that can help manage stroke, palpitations, gastritis and eczeme. This course is a continuation to previously approved TCM Herbal Diet.",Pasir Ris East Community Club,210,0,Part Time,1-2 days,10,,,,2018
51,Social Psychology,"Develop a better understanding of the social behaviour of the self
Describe the important theories and concepts of social psychology
Examine how the basic principles and theories of social psychology apply to our daily lives.
Discuss how the different types of interpersonal relationships that people are involved in their daily lives develop and affect us.
Apply the theories of social psychology to explain various real-life social phenomena, such as conformity, prejudice, persuasion, aggression, and helping behaviour.
Analyze how certain theories of social psychology apply to the local Singapore context, and/or may not apply universally to all cultures.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,24,14,3,3.7,2018
52,Personality and Individual Differences,"Demonstrate knowledge and understanding of the perspectives in personality psychology.
Discuss the major theories and relevant research findings.
Compare the strengths and limitations of the major theories.
Differentiate among the different perspectives and evaluate how key assumptions in each approach differentially account for individual differences.
Examine how new insights gleaned from the various approaches contribute to an understanding of human behaviour and mental processes.
Recognise the extent to which traditions and major theories in personality direct trends in current research.
Apply theoretical concepts from personality to case studies.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,21,6,1,4,2018
53,Organisational Psychology,"Discuss key theories/models/findings in organisational psychology.
Compare different ways of conducting research in organisational psychology.
Examine key trends/issues/challenges faced by companies and I/O psychologists.
Illustrate different approaches to recruit/select/appraise employees.
Explain how to motivate and lead employees to be productive and satisfied with their work.
Show different strategies for employees to cope with stress and engage in positive work attitudes/behaviours (vs negative work attitudes/behaviours).",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,21,7,2,4,2018
54,Developmental Psychology,"Outline key milestones and changes in the physical, cognitive and psychosocial development of human beings
Explain how the different developmental theories contribute to our understanding of human development
Examine various issues and challenges of different age groups or stages of development
Discuss key theories in developmental psychology across various aspects of development
Apply different developmental theories to various aspects of development
Illustrate the various stages of development",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,21,1,1,5,2018
55,Emotion,"Analyse the key affective, cognitive, behavioural, and biological components of emotions
Demonstrate knowledge of the key theoretical perspectives, methodological approaches, and empirical evidence on emotions
Judge the implications of emotion on psychological, behavioural, and life outcomes based on theoretical perspectives and empirical evidence on emotions
Design research studies to investigate key questions of interest in the field of emotions
Propose strategies for regulating emotions and using emotions to achieve specific objectives in real world situations
Appraise how emotions can be applied to understand and explain real-world events
Critique existing research in a domain by drawing together theories and findings from various sources",Singapore University Of Social Sciences,1461,0,Part time,3-5 days,24,,,,2018
56,Health Psychology,"Describe common terms, concepts, and theories of health psychology
Explain the risks and protective factors of various health-related disorders and diseases
Examine the models of behaviour change
Develop different intervention methods for health promotion and prevention
Apply different intervention methods for health promotion and prevention
Appraise the effectiveness of different intervention methods for health promotion and prevention",Singapore University Of Social Sciences,1461,0,Part time,3-5 days,24,,,,2018
57,Cognitive Psychology: Exploring the Mind,"Examine major theories, principles, and concepts in cognitive psychology.
Discuss relevant theories and research findings to explain real-life behaviour and cognitions.
Appraise cognitive theories and how hypotheses are verified through empirical testing.
Illustrate how cognitive psychology provides evidence of the link between cognitive functions of the mind and behaviour.
Apply cognitive theories and findings to everyday mental-life and behaviour.
Prepare an experimental report based on a pre-programmed experiment and the interpretation of experimental results.",Singapore University Of Social Sciences,1461,0,Part time,3-5 days,21,1,,,2018
58,Cultural Psychology,"Develop an overview to Cultural Psychology
Assess the range of epistemological approaches to Cultural Psychology
Propose why certain epistemological approaches are preferable under certain contexts
Analyse psychological issues and phenomena using a cultural psychological framework
Examine how the cultural psychological approach can be applied to key subfields in psychology (e.g., identity, emotion, and cognition and perception)
Demonstrate an understanding of the dynamics of cross-cultural scenarios within a multicultural context",Singapore University Of Social Sciences,1461,0,Part time,3-5 days,24,,,,2018
59,Group Dynamics,"Examine the principles and concepts that guide the study of group dynamics.
Discuss the necessity and importance of studying human behaviour in the context of their groups.
Demonstrate knowledge and understanding of the major theories and models of group dynamics.
Apply knowledge in understanding the transformation from personal identity to social identity.
Develop practical research skills in doing research in group dynamics.
Appraise case studies and research findings based on the understanding of group dynamics.",Singapore University Of Social Sciences,1461,0,Full Time,3-5 days,24,,,,2018
60,Personnel Assessment and Selection,"Illustrate the challenges of personnel selection procedures and assessments.
Discuss the reliability and validity of assessment and selection measures
Demonstrate the complexity of assessing employee performance
Examine the use of recruitment, selection and assessment measures.
Criticize selection technique and principles
Propose appropriate selection and assessment strategies",Singapore University Of Social Sciences,1461,0,Full Time and Part Time,3-5 days,24,,,,2018
61,Positive Psychology,"Demonstrate knowledge and understanding of the social psychological research and theories on well-being.
Examine the various social psychological research and theories and on well-being.
Analyse the cognitions, behaviors, and factors which enhance or undermine optimal human growth.
Evaluate the theories regarding the factors that influence well-being.
Apply positive psychology theories to your own lives.
Propose recommendations for improving well-being using the theories and findings from positive psychology.
Assess what constitutes well-being or a “good life” based on the empirical evidence in the literature.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,18,,,,2018
62,Psychology of Creativity,"Compare different theories and approaches to creativity.
Examine key questions regarding creativity.
Analyze how the environment affects creativity.
Propose ways to measure creativity in different contexts.
Appraise different processes and stages of creativity
Recommend strategies to foster creativity at school and at work.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,18,,,,2018
63,Psychology of Consumer Behaviour,"Examine theories related to the study of consumer behaviour.
Appraise the factors related to consumer decision making.
Discuss the factors that influence how consumers process information.
Evaluate the influence of the social environment and contemporary strategies for marketers.
Demonstrate critical and analytical skills in analysing the effectiveness of techniques and strategies used in the psychology of consumer behaviour.
Apply principles from the psychology of consumer behaviour in conducting a qualitative study.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,21,,,,2018
64,Work Stress,"Analyze stress theories.
Criticize stress theories and their associated research methods .
Apply stress theories to real world situations.
Demonstrate how people can cope with stress in the workplace.
Formulate practical recommendations to solve organizational challenges using stress theories.
Propose real-world examples of stress theories in action.",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,21,,,,2018
65,Biological Basis of Psychology,"Discuss biopsychological theories of human behaviour.
Examine the brain structure and their connectivity.
Evaluate the neuronal processes in biopsychology.
Appraise biopsychological models of human behaviour.
Illustrate the study of the biological basis of behaviour using various research methods.
Apply biopsychological concepts to real-life situations",Singapore University Of Social Sciences,1461,0,Part Time,3-5 days,24,,,,2018
66,SkillsFuture@PA TCM Gua Sha (Stage 3),Learn the advanced skills of TCM Gua Sha and massage techniques.,Changi Simei Community Club,140,0,Part time,1-2 days,10,20,4,4.5,2019
67,Assist therapist in the provision of therapy services & programmes to meet special needs of clients (SFw),Assist therapist in the provision of therapy services &amp; programmes to meet special needs of clients,Csm Academy International Pte. Ltd.,550,275,Full Time and Part Time,3-5 days,30,66,,,2019
68,"Assist in the Provision of a Safe, Hygienic and Supportive Environment (SFw)","Assist in the Provision of a Safe, Hygienic and Supportive Environment",Csm Academy International Pte. Ltd.,550,275,Full Time and Part Time,3-5 days,30,67,,,2019
69,Prepare and Maintain Therapy Equipment and Appliances (SFw),This competency unit enables an individual to acquire the skills and knowledge to apply common processes in Therapy Services.  This competency unit together with other elective units is tailored to provide the skill and knowledge outcomes required by the community and social services sector of therapy services in the field of the community and social services industry in a WSQ level 1 position,Csm Academy International Pte. Ltd.,550,275,Full Time and Part Time,3-5 days,30,68,,,2019
70,Assist therapist or therapist assistant to conduct therapy programmes (SFw),"This Competency Unit enables an individual to acquire the skills and knowledge to apply common processes in Therapy Services. This Competency Unit, together with other elective units, is tailored to provide the skill and knowledge outcomes required by the Community and Social Services sector.",Csm Academy International Pte. Ltd.,550,275,Full Time and Part Time,6 days - 1 month,40,74,,,2019
71,Ice Cream making made easy,This course is designed for individuals who wants to know the basics of ice cream making without the technicality,Nanyang Polytechnic,100,0,Part Time,1-2 days,4,18,20,4.5,2019
72,Understand Dementia - Just forgetful or dementia?,The course aims to provide participants with the knowledge and understanding of dementia and how it affects memory and a person’s behaviour.,Nanyang Polytechnic,130,0,Part time,1-2 days,7,,,,2019
73,Protecting against bacteria and viruses,This course aims to educate participants on bacteria and viruses.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
74,Understanding your Drinking Water: From Source to Tap,The module introduces the basic principles and concepts in drinking water treatment.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
75,What does my blood test tell me?,This course aims to educate participants on the varrious blood tests available.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
76,DIABETES CARE - LIFESTYLE MANAGEMENT,"This 1-day workshop aims to equip you with a basic understanding of :
1) Types of diabetes and its complications
2) Management of high and low blood glucose levels
3) Self-management of diabetes",Nanyang Polytechnic,105,0,Part time,1-2 days,7,,,,2019
77,Cooking for the Elderly and Effects of Aging on Taste,This course aim to help participants to discover changes in their taste perception as they grow older.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
78,Age gracefully: Understanding your medications,This course will provide participants with an overview of the medications commonly used in the elderly population.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
79,Creating Your Own Scented Candle,This course aims to educate participants on creating their own scented candles.,Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
80,FIRST AID FOR HOME EMERGENCIES,"If there is a desire to equip yourselves with some basic first aid skills to prepare for unforeseen home accidents, common injuries or emergencies, then this course is a MUST for you!",Nanyang Polytechnic,170,0,Full Time,1-2 days,7,,,,2019
81,"The Science of Aging Gracefully: Diet, Exercise & Skin Care",This is a course suitable for both genders of all ages and levels of fitness.,Nanyang Polytechnic,160,0,Full Time and Part Time,1-2 days,8,,,,2019
82,Is it safe to volunteer for drug trials?,"This course will provide the participants with the basic understanding on the clinical trials, with the primary focus on the pros and cons, as well as the safety aspects of volunteering in clinical trials in Singapore.",Nanyang Polytechnic,160,0,Part time,1-2 days,8,,,,2019
83,Is it safe to take my medicine with my herb?,"This course will provide the participants with the fundamentals in medication safety, in particular, on the management of combining prescription medication and Herbal medication.",Nanyang Polytechnic,160,0,Part Time,1-2 days,8,,,,2019
84,Medical Device Regulation in ASEAN and Asia-Pacific(Synchronous e-learning),"""This course provides a comprehensive review of medical device regulation in the ASEAN countries, China and the Asia-Pacific. The emergence of harmonization in the ASEAN community will be discussed and students will see how harmonization efforts translate into regulatory requirements. Regulatory and submission strategy for the ASEAN market will be a key focus of this course with a blend of practical and applied concepts to include the review of a sample submission.                                    1. To gain an understanding of ASEAN countries Device Regulation like Singapore, Malaysia, Thailand etc 
2. To gain an understanding of AP countries Device Regulation like China, Australia, Japan, South Korea, Taiwan etc
3. To learn to develop regulatory strategy in these different countries
4. Be able to work in a team
5. Be conversant in individual and group presentation and report writing
""",National University Of Singapore,5400,1620,Part Time,6 days - 1 month,39,35,12,4,2019
85,Pre-Market Requirements and Post Market Surveillance(Sync e-learning),"""Premarket approval is conducted by appropriate regulatory authorities and Conformity Assessment Bodies bodies to evaluate the safety and effectiveness of medical devices prior to marketing. The process may vary from jurisdiction to jurisdiction. The students will learn about the essential principles of safety &amp; performance of medical devices including various design and manufacturing parameters and requirements. This module will outline the various strategies and components of such post-market surveillance systems including vigilance reporting, handling of customer complaints and product recalls.                                          1. To gain an understanding of the pre-market approval process and post market obligations
2. To be conversant with the essential principles of safety and performance of medical devices.
3. To gain an understanding of the requirements of postmarket vigilance including reporting, and complaints handling and recalls.
Understanding conformity assessment of medical devices and how it is related to quality management system.
""",National University Of Singapore,5400,1620,Full Time and Part Time,6 days - 1 month,39,,,,2019
